Age,BusinessTravel,Department,DistanceFromHome,EducationField,Gender,JobRole,JobLevel,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
57,Travel_Rarely,Sales,29,Technical Degree,Female,Manager,5,4654,0,Yes,21,2,38,1,3,2,3,2,38,7,11,6,Yes
30,Travel_Frequently,Sales,9,Life Sciences,Female,Sales Representative,1,18408,0,No,16,1,10,2,2,3,2,3,2,2,2,1,No
48,Travel_Rarely,Research & Development,14,Life Sciences,Female,Laboratory Technician,2,7252,1,Yes,16,3,19,5,1,2,2,3,5,1,4,1,Yes
32,Travel_Rarely,Human Resources,26,Life Sciences,Female,Human Resources,2,7616,7,Yes,16,2,14,6,4,3,2,2,14,3,4,0,No
46,Travel_Rarely,Sales,11,Marketing,Male,Manager,3,19970,0,No,12,3,11,5,3,3,3,4,2,1,2,2,No
28,Travel_Rarely,Human Resources,30,Other,Male,Manager,4,19436,1,No,21,2,9,2,1,3,1,4,3,2,0,2,No
41,Travel_Rarely,Sales,20,Life Sciences,Female,Sales Representative,2,8102,6,No,23,2,14,3,2,2,4,4,3,1,3,3,No
31,Travel_Rarely,Sales,26,Medical,Female,Manager,1,9761,7,No,17,1,11,5,1,3,4,2,7,7,4,6,Yes
21,Travel_Rarely,Research & Development,15,Life Sciences,Female,Laboratory Technician,4,19372,8,No,19,2,3,4,4,1,4,2,3,3,1,1,Yes
51,Travel_Rarely,Sales,3,Marketing,Female,Manager,1,16813,2,No,13,1,24,5,4,3,2,2,4,1,2,0,No
42,Travel_Rarely,Research & Development,28,Technical Degree,Male,Manufacturing Director,3,3040,6,No,24,3,17,5,4,2,2,4,5,3,4,1,No
52,Travel_Rarely,Research & Development,1,Other,Male,Research Scientist,4,19902,2,No,24,3,11,0,2,4,3,4,0,1,0,1,No
41,Travel_Rarely,Research & Development,1,Marketing,Male,Research Scientist,1,17811,0,No,14,1,2,4,4,3,2,3,2,0,0,0,No
28,Non-Travel,Research & Development,25,Life Sciences,Male,Manufacturing Director,5,6153,6,Yes,17,1,5,4,3,3,2,2,5,0,4,5,No
59,Travel_Rarely,Sales,3,Technical Degree,Female,Sales Executive,4,14542,5,No,21,3,11,3,3,1,2,4,11,11,10,8,No
38,Travel_Frequently,Human Resources,11,Life Sciences,Female,Manager,2,11194,7,No,20,3,10,0,4,4,4,4,6,6,6,2,No
34,Travel_Rarely,Research & Development,8,Medical,Female,Healthcare Representative,4,5205,0,Yes,12,2,7,3,3,3,2,1,3,2,1,2,No
54,Travel_Frequently,Research & Development,9,Marketing,Male,Laboratory Technician,2,12447,3,No,22,3,17,5,3,3,3,4,2,0,1,0,No
44,Travel_Rarely,Research & Development,23,Technical Degree,Male,Research Scientist,5,11972,4,Yes,18,3,14,2,3,2,2,1,1,0,0,1,No
51,Travel_Rarely,Human Resources,26,Medical,Male,Manager,5,7288,3,Yes,23,3,28,3,1,4,3,1,0,1,0,1,Yes
24,Travel_Rarely,Research & Development,6,Medical,Male,Healthcare Representative,4,5060,7,No,15,0,6,2,2,2,3,3,6,5,5,6,Yes
35,Travel_Rarely,Research & Development,30,Life Sciences,Male,Manufacturing Director,5,7282,4,No,18,0,17,5,4,2,3,1,17,12,7,8,Yes
52,Travel_Frequently,Research & Development,8,Human Resources,Male,Manufacturing Director,5,5392,0,No,23,1,30,4,3,4,4,3,4,2,0,1,No
48,Travel_Frequently,Human Resources,11,Marketing,Female,Manager,3,13321,6,No,24,0,14,0,4,1,3,3,7,4,6,5,No
46,Travel_Frequently,Research & Development,17,Other,Female,Research Scientist,2,8546,4,No,19,1,14,3,4,1,4,4,14,1,0,0,No
59,Travel_Rarely,Human Resources,27,Life Sciences,Male,Manager,3,9762,8,No,22,2,26,6,1,3,4,4,11,7,1,3,No
30,Travel_Rarely,Research & Development,30,Life Sciences,Female,Manufacturing Director,5,13537,7,No,24,1,7,4,1,2,4,3,3,2,3,2,No
55,Travel_Rarely,Research & Development,2,Technical Degree,Female,Laboratory Technician,4,15860,0,No,13,2,6,6,2,2,4,4,3,0,1,3,No
30,Travel_Rarely,Research & Development,20,Marketing,Female,Manufacturing Director,4,13493,8,No,11,0,3,5,1,2,3,4,3,1,2,0,No
27,Travel_Rarely,Research & Development,2,Marketing,Female,Healthcare Representative,2,3348,3,No,19,3,9,5,4,1,2,2,9,2,4,2,Yes
45,Travel_Rarely,Research & Development,15,Technical Degree,Female,Laboratory Technician,1,10722,7,Yes,16,2,20,3,2,2,3,4,6,3,5,6,Yes
45,Travel_Rarely,Research & Development,1,Marketing,Male,Research Scientist,5,12074,7,Yes,24,2,24,6,3,4,2,3,13,9,11,12,No
33,Travel_Frequently,Research & Development,2,Life Sciences,Female,Manufacturing Director,4,16844,2,No,14,1,11,4,1,2,3,1,6,6,2,1,No
51,Travel_Frequently,Research & Development,25,Other,Female,Manufacturing Director,1,7012,6,No,11,2,23,3,1,3,3,4,23,21,2,23,No
58,Travel_Rarely,Sales,20,Human Resources,Male,Manager,1,3220,7,No,25,2,26,0,1,3,2,2,3,0,3,0,No
52,Travel_Rarely,Research & Development,19,Technical Degree,Male,Healthcare Representative,5,16133,6,Yes,15,0,23,1,4,2,4,4,0,1,1,0,No
27,Travel_Frequently,Sales,4,Life Sciences,Male,Manager,5,8619,0,No,11,2,9,1,1,3,2,4,9,1,4,8,No
34,Travel_Rarely,Research & Development,18,Other,Male,Laboratory Technician,1,6659,5,Yes,23,1,11,0,1,2,2,3,11,4,2,0,Yes
47,Non-Travel,Research & Development,15,Life Sciences,Female,Healthcare Representative,1,5973,0,No,18,3,13,5,4,4,1,3,5,3,4,5,No
25,Travel_Rarely,Sales,13,Technical Degree,Female,Sales Executive,1,13055,8,No,22,1,7,3,1,2,2,2,7,6,4,5,No
46,Travel_Rarely,Sales,22,Life Sciences,Male,Sales Representative,1,7401,5,Yes,23,1,17,0,3,4,3,3,3,0,2,3,No
48,Travel_Rarely,Research & Development,7,Life Sciences,Female,Manufacturing Director,1,19026,4,No,20,1,25,3,3,3,1,3,14,9,1,14,No
38,Travel_Rarely,Sales,28,Life Sciences,Male,Manager,1,8344,1,Yes,22,1,12,3,3,3,4,3,0,1,0,0,Yes
41,Travel_Rarely,Research & Development,22,Technical Degree,Female,Healthcare Representative,4,4030,4,No,14,0,11,3,1,1,1,2,10,4,2,10,Yes
52,Travel_Frequently,Sales,10,Marketing,Female,Sales Representative,1,9098,0,No,18,3,11,1,4,2,4,1,5,4,0,5,No
56,Travel_Frequently,Research & Development,15,Human Resources,Female,Healthcare Representative,4,3014,4,No,12,3,12,2,4,1,2,1,12,12,6,9,No
44,Travel_Rarely,Research & Development,28,Marketing,Male,Research Scientist,5,15368,1,No,19,1,24,2,4,2,3,4,0,0,0,0,No
37,Travel_Rarely,Research & Development,22,Other,Female,Manufacturing Director,2,17109,7,No,12,3,14,5,2,1,3,4,1,1,1,0,No
25,Travel_Rarely,Research & Development,20,Human Resources,Male,Healthcare Representative,5,5358,3,No,16,3,2,0,3,1,4,3,2,0,0,1,No
26,Travel_Rarely,Human Resources,20,Marketing,Female,Manager,3,19529,0,Yes,23,2,4,2,4,2,1,4,4,4,4,3,Yes
59,Non-Travel,Research & Development,5,Marketing,Female,Manufacturing Director,2,15243,8,No,12,3,32,2,3,2,1,3,14,5,10,4,No
34,Travel_Rarely,Research & Development,10,Human Resources,Male,Manufacturing Director,5,4928,2,No,20,3,4,1,2,2,2,2,2,2,0,2,No
31,Travel_Rarely,Sales,8,Technical Degree,Male,Sales Representative,5,17110,7,Yes,18,2,12,3,2,3,4,4,8,2,4,3,No
29,Travel_Rarely,Sales,28,Medical,Female,Sales Representative,5,19305,2,Yes,24,3,11,1,3,4,4,1,11,5,11,0,Yes
46,Travel_Rarely,Research & Development,30,Marketing,Male,Laboratory Technician,1,12842,4,Yes,25,3,22,6,3,1,2,2,4,3,0,3,Yes
26,Travel_Rarely,Research & Development,10,Other,Female,Research Scientist,1,10186,7,Yes,20,0,8,4,4,2,2,1,0,0,1,1,Yes
60,Non-Travel,Research & Development,18,Human Resources,Male,Healthcare Representative,4,19637,0,No,21,3,23,2,1,2,1,3,3,2,0,0,No
27,Travel_Frequently,Research & Development,27,Other,Female,Healthcare Representative,2,13493,2,No,12,3,9,2,2,3,2,1,9,0,5,3,No
41,Travel_Rarely,Sales,12,Other,Female,Sales Representative,1,11775,5,No,17,3,23,3,3,4,4,1,18,10,6,5,No
52,Travel_Rarely,Research & Development,20,Marketing,Female,Research Scientist,1,16510,5,No,21,2,19,3,1,3,4,4,3,1,0,3,No
23,Travel_Frequently,Research & Development,12,Medical,Male,Laboratory Technician,5,15710,7,No,11,1,5,1,3,4,3,1,5,2,0,3,No
23,Travel_Rarely,Human Resources,17,Marketing,Male,Human Resources,1,6911,2,No,18,3,5,0,3,3,3,4,5,2,0,5,No
60,Travel_Rarely,Research & Development,15,Life Sciences,Female,Manufacturing Director,1,4826,8,No,19,2,19,6,2,4,2,1,2,2,0,2,Yes
32,Travel_Rarely,Sales,1,Technical Degree,Male,Manager,1,18588,1,No,15,3,11,5,2,1,4,2,11,8,3,6,Yes
57,Travel_Rarely,Sales,29,Human Resources,Male,Sales Executive,4,6605,8,No,25,0,7,4,4,1,2,4,0,1,1,0,No
35,Travel_Rarely,Research & Development,5,Life Sciences,Male,Laboratory Technician,2,11393,5,No,24,0,2,0,1,3,1,3,2,2,0,2,No
34,Travel_Frequently,Research & Development,16,Technical Degree,Female,Healthcare Representative,1,12299,0,No,13,3,13,3,4,1,4,3,10,3,10,5,Yes
41,Travel_Rarely,Research & Development,17,Technical Degree,Male,Manufacturing Director,4,14541,3,No,13,0,13,2,4,3,4,2,13,13,12,9,No
31,Travel_Rarely,Research & Development,15,Life Sciences,Male,Healthcare Representative,5,19266,7,No,14,1,11,2,2,3,1,2,11,0,7,4,No
51,Travel_Rarely,Research & Development,25,Life Sciences,Male,Manufacturing Director,5,14385,4,Yes,12,3,32,3,4,1,3,2,2,2,1,2,Yes
29,Travel_Rarely,Research & Development,13,Medical,Female,Healthcare Representative,5,19082,7,No,13,1,11,4,3,3,3,2,11,2,3,6,No
40,Travel_Rarely,Human Resources,12,Technical Degree,Female,Human Resources,5,2945,7,No,15,1,6,4,3,4,4,4,6,1,6,4,No
60,Travel_Rarely,Sales,15,Other,Male,Sales Representative,5,3020,7,No,24,0,10,4,1,2,2,1,10,8,3,5,Yes
51,Travel_Frequently,Human Resources,22,Other,Female,Manager,2,14009,3,No,15,2,14,2,4,2,3,3,5,5,4,1,No
52,Travel_Frequently,Sales,29,Medical,Female,Sales Executive,3,14841,1,No,16,3,16,5,3,3,4,1,2,0,2,0,No
38,Travel_Rarely,Sales,22,Medical,Male,Sales Executive,4,4063,5,No,22,3,18,5,1,2,2,2,18,0,7,17,No
31,Non-Travel,Human Resources,10,Life Sciences,Male,Human Resources,2,12924,6,No,25,1,3,6,4,4,4,2,3,3,2,1,No
39,Travel_Rarely,Human Resources,16,Human Resources,Female,Manager,2,19580,1,Yes,16,1,14,5,3,1,3,3,14,11,7,2,No
42,Travel_Rarely,Research & Development,11,Medical,Male,Healthcare Representative,3,19284,3,No,11,2,12,1,2,2,4,4,10,4,6,5,Yes
57,Travel_Rarely,Research & Development,6,Other,Female,Research Scientist,3,12453,5,No,20,1,14,1,1,2,4,1,0,0,1,1,Yes
59,Travel_Rarely,Sales,15,Human Resources,Male,Sales Executive,5,19619,8,No,14,1,10,2,2,4,4,2,3,0,0,1,No
52,Travel_Rarely,Sales,19,Marketing,Male,Sales Representative,3,17368,0,No,22,1,4,0,4,1,4,2,0,1,1,0,Yes
24,Travel_Rarely,Research & Development,25,Other,Female,Manufacturing Director,4,8297,7,Yes,24,3,6,0,1,4,2,3,6,5,3,6,Yes
32,Travel_Rarely,Research & Development,10,Technical Degree,Female,Laboratory Technician,2,3144,7,No,16,1,14,1,2,2,1,1,14,0,12,12,Yes
60,Travel_Rarely,Sales,20,Other,Male,Sales Executive,1,5706,6,No,18,1,34,1,2,1,1,2,10,2,1,8,Yes
35,Travel_Rarely,Human Resources,22,Marketing,Male,Human Resources,4,7094,8,No,18,0,11,5,3,3,4,2,11,8,4,5,No
47,Travel_Rarely,Sales,26,Technical Degree,Female,Manager,5,7130,2,No,17,1,8,1,2,4,3,2,1,0,1,1,No
26,Travel_Frequently,Sales,28,Human Resources,Male,Sales Representative,2,3695,5,No,15,0,5,1,3,1,1,4,5,5,5,3,Yes
59,Travel_Rarely,Sales,18,Marketing,Female,Sales Representative,1,17678,7,No,23,2,13,2,3,2,3,3,8,6,6,0,No
35,Travel_Frequently,Research & Development,8,Technical Degree,Female,Manufacturing Director,4,13209,7,Yes,18,1,11,1,3,4,2,2,9,8,3,7,No
55,Travel_Rarely,Research & Development,5,Other,Male,Research Scientist,2,15913,8,No,18,2,32,4,1,1,4,1,32,31,0,1,No
56,Travel_Rarely,Research & Development,4,Medical,Male,Manufacturing Director,3,8274,4,Yes,23,3,5,2,3,3,4,1,3,3,3,1,No
35,Travel_Rarely,Human Resources,13,Life Sciences,Male,Human Resources,4,14827,6,No,21,2,3,4,1,1,1,1,2,0,1,0,No
57,Travel_Rarely,Sales,1,Other,Female,Sales Executive,3,12705,2,Yes,20,1,36,6,3,1,4,1,4,4,1,2,No
29,Travel_Rarely,Research & Development,8,Human Resources,Female,Manufacturing Director,1,16722,4,No,23,3,10,1,3,1,3,1,10,8,1,6,No
58,Travel_Frequently,Research & Development,5,Medical,Female,Manufacturing Director,3,11180,1,Yes,12,0,19,3,2,3,3,1,7,4,1,1,Yes
32,Travel_Rarely,Research & Development,18,Marketing,Female,Research Scientist,3,13997,6,No,17,0,11,4,1,4,2,1,3,1,0,3,Yes
38,Travel_Rarely,Research & Development,10,Marketing,Male,Healthcare Representative,5,16198,3,No,18,0,4,2,2,1,1,4,2,1,1,1,No
45,Travel_Rarely,Sales,20,Marketing,Male,Sales Representative,3,12907,4,No,22,3,18,6,4,3,2,2,11,5,4,6,No
46,Travel_Frequently,Research & Development,15,Life Sciences,Female,Healthcare Representative,2,9269,4,No,14,2,21,1,2,2,4,1,3,3,3,0,No
59,Travel_Rarely,Research & Development,4,Marketing,Male,Research Scientist,5,5184,6,No,23,2,27,0,1,4,1,3,4,0,4,2,No
54,Travel_Rarely,Research & Development,25,Medical,Female,Research Scientist,4,17573,1,No,15,3,5,0,4,2,2,3,5,2,3,2,No
34,Travel_Rarely,Research & Development,10,Life Sciences,Female,Research Scientist,2,4601,3,No,19,1,5,2,4,1,4,4,5,3,2,1,Yes
32,Travel_Rarely,Sales,13,Marketing,Male,Manager,1,16475,8,No,13,2,5,1,1,4,4,2,1,0,1,1,Yes
52,Travel_Rarely,Sales,28,Other,Female,Manager,5,13933,1,No,21,1,20,0,4,4,2,1,5,2,2,0,No
30,Non-Travel,Research & Development,21,Medical,Male,Healthcare Representative,3,18347,2,No,13,2,7,4,4,2,1,4,5,2,1,0,No
33,Travel_Rarely,Research & Development,16,Medical,Female,Research Scientist,3,16944,3,No,19,2,11,6,4,4,4,4,11,9,6,11,No
52,Travel_Rarely,Sales,25,Technical Degree,Male,Manager,2,3763,4,Yes,24,0,28,2,3,1,3,3,5,0,4,3,No
28,Travel_Rarely,Sales,26,Life Sciences,Female,Manager,3,6962,8,Yes,13,2,10,2,4,3,3,2,10,8,9,10,Yes
29,Travel_Rarely,Sales,8,Medical,Female,Sales Representative,2,6748,4,No,21,3,11,3,3,1,1,2,11,10,11,1,Yes
38,Travel_Rarely,Research & Development,24,Other,Female,Research Scientist,5,5452,6,No,14,3,8,3,4,4,3,3,8,5,0,4,No
57,Travel_Frequently,Research & Development,1,Technical Degree,Female,Research Scientist,4,17459,3,No,22,1,19,1,1,3,3,1,0,0,0,1,Yes
44,Travel_Rarely,Research & Development,21,Medical,Female,Research Scientist,2,16465,3,No,19,3,7,0,4,1,3,3,7,1,3,6,Yes
51,Travel_Frequently,Sales,5,Medical,Male,Sales Executive,5,12205,0,No,20,1,28,2,1,1,2,3,0,0,1,1,No
49,Travel_Rarely,Research & Development,12,Medical,Male,Manufacturing Director,1,14983,3,Yes,19,2,13,6,2,1,3,1,13,3,9,8,No
33,Travel_Rarely,Research & Development,8,Human Resources,Male,Manufacturing Director,3,6094,2,No,17,3,11,4,2,1,2,4,9,7,6,1,No
25,Travel_Rarely,Research & Development,23,Human Resources,Male,Manufacturing Director,1,16279,4,Yes,12,1,2,4,4,1,3,3,0,1,1,0,Yes
48,Travel_Rarely,Research & Development,15,Other,Male,Research Scientist,1,6200,2,No,22,0,9,3,2,1,3,1,9,8,6,8,No
37,Travel_Rarely,Sales,9,Human Resources,Male,Sales Representative,4,16468,8,Yes,16,0,15,6,1,3,2,1,1,1,1,0,Yes
27,Travel_Rarely,Research & Development,8,Medical,Male,Research Scientist,5,2802,6,No,14,2,9,3,2,1,3,1,9,4,0,1,Yes
28,Travel_Rarely,Research & Development,29,Marketing,Female,Research Scientist,5,4658,7,No,11,2,4,2,2,2,3,1,4,4,3,1,Yes
58,Travel_Rarely,Research & Development,1,Other,Male,Manufacturing Director,1,15836,6,No,24,2,24,1,2,2,2,2,24,13,0,15,Yes
30,Travel_Rarely,Human Resources,19,Technical Degree,Male,Human Resources,4,5182,2,Yes,14,2,8,6,4,2,3,3,8,6,7,5,Yes
38,Travel_Rarely,Research & Development,15,Human Resources,Female,Laboratory Technician,4,7786,4,No,18,2,3,0,1,2,2,2,1,1,0,0,Yes
41,Travel_Rarely,Research & Development,27,Technical Degree,Female,Laboratory Technician,1,10925,7,No,12,1,3,0,4,3,1,1,1,0,1,0,No
46,Travel_Rarely,Research & Development,7,Medical,Male,Manufacturing Director,1,4512,0,No,18,0,5,4,3,1,4,1,3,3,0,3,No
48,Travel_Rarely,Research & Development,2,Other,Female,Healthcare Representative,4,7270,8,Yes,18,0,2,2,3,2,4,3,1,0,1,1,No
54,Travel_Rarely,Research & Development,12,Technical Degree,Female,Laboratory Technician,1,18281,5,No,20,1,2,6,4,1,3,3,2,0,1,1,No
58,Travel_Frequently,Research & Development,27,Medical,Female,Manufacturing Director,2,19887,2,No,14,2,40,4,2,1,1,2,40,22,8,36,No
57,Travel_Rarely,Research & Development,3,Life Sciences,Female,Research Scientist,3,3643,3,No,23,1,21,5,3,4,2,2,20,10,15,1,Yes
58,Travel_Rarely,Research & Development,19,Medical,Male,Healthcare Representative,4,15362,5,Yes,13,2,14,5,3,1,2,1,8,6,5,4,Yes
39,Non-Travel,Sales,21,Medical,Female,Manager,1,9638,3,No,16,2,5,5,1,4,1,2,0,1,1,1,No
34,Non-Travel,Research & Development,15,Technical Degree,Female,Healthcare Representative,3,15046,8,Yes,17,0,15,6,1,3,2,1,2,0,0,1,No
23,Travel_Rarely,Research & Development,6,Life Sciences,Female,Healthcare Representative,1,14703,6,No,21,1,4,3,1,1,2,3,2,0,0,0,No
33,Travel_Rarely,Research & Development,2,Technical Degree,Male,Research Scientist,3,5542,0,No,17,0,9,6,3,3,4,3,3,1,1,0,No
31,Travel_Rarely,Research & Development,16,Other,Female,Laboratory Technician,3,17831,6,No,16,1,7,0,1,4,3,3,7,7,6,7,No
38,Travel_Rarely,Research & Development,25,Technical Degree,Female,Healthcare Representative,5,15965,3,Yes,18,2,5,3,1,1,1,3,5,4,4,4,Yes
57,Travel_Rarely,Sales,26,Life Sciences,Female,Sales Executive,2,9343,4,No,16,0,7,3,4,1,4,2,7,5,2,4,Yes
21,Travel_Frequently,Research & Development,19,Life Sciences,Male,Research Scientist,3,7256,8,No,25,2,3,2,1,4,4,4,3,3,1,3,No
38,Non-Travel,Research & Development,2,Marketing,Male,Manufacturing Director,3,10184,4,No,15,3,3,6,1,4,2,4,3,1,2,2,No
49,Travel_Frequently,Human Resources,30,Human Resources,Female,Human Resources,5,9326,2,No,12,2,25,1,1,4,1,2,10,2,7,3,No
33,Travel_Rarely,Sales,9,Technical Degree,Male,Manager,1,8924,3,Yes,16,3,14,1,1,4,4,3,12,9,11,8,Yes
31,Travel_Frequently,Research & Development,6,Medical,Male,Laboratory Technician,2,4026,4,Yes,21,3,12,0,3,1,1,1,12,7,6,2,No
59,Travel_Rarely,Sales,15,Other,Female,Manager,1,13826,0,Yes,19,2,35,5,3,3,3,4,11,4,6,10,Yes
25,Travel_Frequently,Research & Development,7,Life Sciences,Female,Manufacturing Director,2,12190,0,Yes,21,3,4,2,3,3,4,3,2,1,2,1,Yes
58,Travel_Rarely,Sales,30,Marketing,Male,Manager,5,17988,2,No,15,0,30,1,3,2,3,2,8,8,8,2,No
42,Travel_Rarely,Human Resources,9,Life Sciences,Female,Human Resources,5,14579,1,Yes,18,1,16,0,3,2,4,4,7,4,5,6,No
30,Travel_Rarely,Research & Development,25,Medical,Female,Research Scientist,1,8309,7,Yes,15,1,12,6,4,4,2,2,1,0,1,1,Yes
26,Travel_Rarely,Sales,1,Marketing,Male,Sales Representative,5,14960,3,No,11,0,3,1,4,4,3,4,0,1,1,0,Yes
53,Travel_Rarely,Research & Development,20,Other,Male,Manufacturing Director,4,19448,5,Yes,23,1,10,6,3,1,4,3,6,0,3,1,No
29,Travel_Frequently,Research & Development,29,Human Resources,Male,Research Scientist,1,14694,0,Yes,11,0,6,3,1,2,4,3,1,0,0,1,Yes
30,Travel_Rarely,Research & Development,9,Technical Degree,Male,Research Scientist,3,19449,1,No,23,0,7,1,3,1,2,4,1,1,0,0,No
47,Travel_Rarely,Research & Development,1,Life Sciences,Female,Laboratory Technician,1,10084,8,Yes,12,0,28,2,2,4,2,4,2,1,1,1,Yes
24,Travel_Frequently,Research & Development,24,Life Sciences,Male,Laboratory Technician,2,16359,5,Yes,16,3,4,2,3,1,1,3,0,1,1,1,Yes
46,Travel_Rarely,Research & Development,5,Medical,Male,Healthcare Representative,5,6104,7,No,23,3,5,4,4,4,4,4,3,2,1,0,No
29,Travel_Rarely,Sales,21,Other,Male,Manager,3,10972,8,No,19,0,6,5,4,4,2,1,4,3,0,2,No
45,Travel_Frequently,Sales,28,Marketing,Male,Sales Representative,3,18647,0,No,19,1,17,5,1,1,4,2,1,1,1,0,Yes
49,Travel_Rarely,Research & Development,24,Technical Degree,Male,Research Scientist,1,18697,4,No,25,1,29,2,4,4,3,3,11,0,1,3,No
42,Travel_Rarely,Sales,25,Marketing,Female,Manager,5,5592,5,No,22,0,5,1,3,4,4,4,5,1,0,5,No
47,Travel_Rarely,Sales,27,Life Sciences,Female,Sales Executive,5,17376,1,No,23,3,14,5,1,2,2,4,0,1,0,0,No
24,Travel_Rarely,Research & Development,4,Marketing,Female,Healthcare Representative,5,6606,3,No,15,3,5,2,2,4,4,2,5,1,5,1,No
53,Travel_Rarely,Research & Development,22,Other,Male,Manufacturing Director,1,11921,5,No,19,3,26,5,2,3,3,2,2,1,0,0,No
22,Travel_Frequently,Research & Development,22,Other,Female,Laboratory Technician,5,11791,0,Yes,16,3,3,4,2,1,2,3,3,3,1,1,Yes
39,Travel_Rarely,Research & Development,1,Technical Degree,Male,Manufacturing Director,5,4162,8,Yes,22,1,8,2,4,4,4,4,8,2,5,1,No
32,Travel_Frequently,Research & Development,5,Life Sciences,Female,Healthcare Representative,2,11058,0,Yes,13,2,9,0,4,1,3,3,9,7,8,9,Yes
25,Travel_Rarely,Research & Development,18,Medical,Male,Manufacturing Director,3,16029,5,No,15,1,7,4,2,2,1,1,7,1,2,5,No
60,Travel_Rarely,Research & Development,9,Human Resources,Female,Healthcare Representative,4,15044,0,Yes,15,1,20,4,3,1,1,4,17,3,3,5,No
55,Travel_Frequently,Human Resources,18,Other,Female,Human Resources,2,9136,0,No,18,2,5,0,2,2,1,4,5,0,0,1,No
56,Travel_Rarely,Sales,14,Life Sciences,Male,Manager,5,15652,1,No,23,0,4,2,4,3,1,4,0,1,1,1,No
39,Travel_Rarely,Research & Development,8,Human Resources,Female,Laboratory Technician,3,19880,5,No,11,1,10,0,1,4,1,4,10,9,2,9,No
56,Travel_Frequently,Research & Development,6,Medical,Male,Laboratory Technician,5,7674,0,No,24,3,35,0,2,3,3,4,20,2,4,8,No
58,Travel_Rarely,Research & Development,29,Marketing,Female,Laboratory Technician,5,4687,5,No,23,2,27,1,2,2,1,1,4,2,2,1,Yes
48,Travel_Rarely,Sales,25,Medical,Male,Sales Representative,2,14155,8,No,14,2,23,5,4,3,1,4,2,2,1,0,No
53,Travel_Rarely,Sales,18,Other,Male,Sales Representative,4,10939,3,No,25,2,8,3,2,4,1,1,6,3,4,2,No
36,Travel_Rarely,Research & Development,19,Medical,Female,Manufacturing Director,1,8270,3,No,23,3,13,0,2,2,3,4,13,5,2,3,No
34,Travel_Rarely,Research & Development,21,Human Resources,Female,Manufacturing Director,5,3707,8,No,20,1,12,5,4,4,4,4,5,2,0,4,No
25,Travel_Rarely,Sales,26,Human Resources,Male,Sales Representative,2,18353,3,No,12,2,5,1,4,2,2,3,5,1,2,2,No
28,Travel_Rarely,Research & Development,7,Technical Degree,Male,Laboratory Technician,1,18096,2,No,20,1,7,5,1,3,1,4,7,2,7,0,No
32,Travel_Frequently,Research & Development,20,Medical,Male,Healthcare Representative,5,17119,2,No,23,1,9,5,3,1,3,1,5,1,1,5,No
50,Non-Travel,Sales,7,Other,Female,Sales Executive,5,2942,1,Yes,13,3,6,6,4,4,1,2,6,0,0,3,No
59,Travel_Frequently,Sales,14,Technical Degree,Female,Manager,5,19761,1,Yes,17,1,16,3,4,4,2,3,5,0,0,2,No
